Timestamp,my-wallet-n-users
2011-11-29 00:00:00,2
2011-12-21 00:00:00,265
2012-01-12 00:00:00,710
2012-02-03 00:00:00,1425
2012-02-25 00:00:00,2159
2012-03-18 00:00:00,2968
2012-04-08 23:00:00,4168
2012-04-30 23:00:00,5798
2012-05-22 23:00:00,7409
2012-06-13 23:00:00,9257
2012-07-05 23:00:00,11572
2012-07-27 23:00:00,14828
2012-08-18 23:00:00,18211
2012-09-09 23:00:00,22570
2012-10-01 23:00:00,28121
2012-10-24 00:00:00,34857
2012-11-15 00:00:00,40615
2012-12-07 00:00:00,48720
2012-12-29 00:00:00,75685
2013-01-20 00:00:00,96434
2013-02-11 00:00:00,112616
2013-03-05 00:00:00,131891
2013-03-27 00:00:00,158841
2013-04-17 23:00:00,226475
2013-05-09 23:00:00,263783
2013-05-31 23:00:00,294983
2013-06-22 23:00:00,322614
2013-07-14 23:00:00,351533
2013-08-05 23:00:00,377726
2013-08-27 23:00:00,411079
2013-09-18 23:00:00,437254
2013-10-11 00:00:00,468965
2013-11-02 00:00:00,519112
2013-11-24 00:00:00,638570
2013-12-16 00:00:00,869865
2014-01-07 00:00:00,1007391
2014-01-29 00:00:00,1151305
2014-02-20 00:00:00,1278074
2014-03-14 00:00:00,1383969
2014-04-05 00:00:00,1466318
2014-04-26 23:00:00,1550878
2014-05-18 23:00:00,1627280
2014-06-09 23:00:00,1711347
2014-07-01 23:00:00,1800748
2014-07-23 23:00:00,1896770
2014-08-14 23:00:00,2027773
2014-09-05 23:00:00,2145615
2014-09-27 23:00:00,2262294
2014-10-20 00:00:00,2370886
2014-11-11 00:00:00,2482915
2014-12-03 00:00:00,2593733
2014-12-25 00:00:00,2698222
2015-01-16 00:00:00,2798054
2015-02-07 00:00:00,2902737
2015-03-01 00:00:00,3034588
2015-03-23 00:00:00,3138102
2015-04-13 23:00:00,3250058
2015-05-05 23:00:00,3360999
2015-05-27 23:00:00,3480210
2015-06-18 23:00:00,3595963
2015-07-10 23:00:00,3739207
2015-08-01 23:00:00,3912526
2015-08-23 23:00:00,4101954
2015-09-14 23:00:00,4259086
2015-10-07 00:00:00,4439625
2015-10-29 00:00:00,4665697
2015-11-20 00:00:00,4910696
2015-12-12 00:00:00,5194282
2016-01-03 00:00:00,5464819
2016-01-25 00:00:00,5811068
2016-02-16 00:00:00,6071809
2016-03-09 00:00:00,6343080
2016-03-31 00:00:00,6648664
2016-04-21 23:00:00,6921588
2016-05-13 23:00:00,7227274
2016-06-04 23:00:00,7514984
2016-06-26 23:00:00,7762999
2016-07-18 23:00:00,8003788
2016-08-09 23:00:00,8254418
2016-08-31 23:00:00,8531200
2016-09-22 23:00:00,8842084
2016-10-15 00:00:00,9210781
2016-11-06 00:00:00,9649024
2016-11-28 00:00:00,10202673
2016-12-20 00:00:00,10751122
2017-01-11 00:00:00,11240523
2017-02-02 00:00:00,11722629
2017-02-24 00:00:00,12212766
2017-03-18 00:00:00,12656618
2017-04-08 23:00:00,13044154
2017-04-30 23:00:00,13419295
2017-05-22 23:00:00,13948531
2017-06-13 23:00:00,14559986
2017-06-24 07:05:56,14799901
2017-07-01 11:02:34,14977199
2017-07-07 07:24:30,15122032
2017-08-01 09:51:58,15682554
2017-08-07 10:12:41,15808339
2017-08-13 20:13:39,15967771
2017-08-20 00:55:28,16150740
2017-08-25 08:34:03,16302251
2017-08-31 17:10:45,16483747
2017-09-06 15:48:24,16660188
2017-09-12 08:59:04,16817240
2017-09-22 01:13:07,17060070
2017-09-27 21:55:48,17191431
2017-10-02 19:19:03,17300066
2017-10-08 05:28:19,17417054
2017-10-13 04:36:06,17555548
2017-10-19 14:36:17,17762488
2017-10-25 12:43:50,17973590
2017-10-31 11:53:54,18187328
2017-11-06 15:20:35,18435363
2017-11-12 11:20:00,18648418
2017-11-18 07:42:15,18850175
2017-11-24 01:52:15,19057175
2017-11-30 06:24:51,19390594
2017-12-05 16:18:09,19720581
2017-12-11 04:51:59,20213998
2017-12-17 06:03:15,20693380
2017-12-23 07:00:50,21127708
2017-12-29 17:01:02,21420747
2018-01-05 00:41:48,21689808
2018-01-11 10:01:45,22002952
2018-01-17 00:35:55,22235160
2018-01-22 22:24:04,22448486
2018-01-28 15:08:32,22619304
2018-02-04 01:08:21,22804131
2018-02-10 11:09:27,22958829
2018-02-16 11:23:30,23091888
2018-02-22 19:15:30,23239524
2018-03-01 05:15:20,23374674
2018-03-07 15:16:17,23508832
2018-03-14 01:16:03,23628176
2018-03-20 11:16:55,23750641
2018-03-26 15:13:12,23855295
2018-04-01 18:40:39,23967625
2018-04-08 02:57:23,24069870
2018-04-14 01:06:19,24166869
2018-04-20 11:06:43,24272686
2018-04-26 21:06:31,24387017
2018-05-06 22:40:34,24600940
2018-05-13 08:39:42,24712314
2018-05-19 18:39:48,24824087
2018-05-25 22:47:54,24931342
2018-06-01 08:48:03,25051663
2018-06-07 18:48:57,25182779
2018-06-14 04:48:39,25294827
2018-06-20 08:46:44,25406196
2018-06-26 12:42:32,25589173
2018-07-02 13:21:26,25817295
2018-07-08 23:22:06,26075111
2018-07-15 05:37:10,26258594
2018-07-21 12:48:46,26489365
2018-07-27 22:48:48,26803987
2018-08-03 06:54:27,27090427
2018-08-08 10:54:32,27395102
2018-08-09 08:54:32,27463785
2018-08-10 06:54:32,27494688
2018-08-11 04:54:32,27550271
2018-08-12 02:54:32,27599581
2018-08-13 00:54:32,27628301
2018-08-13 22:54:32,27668860
2018-08-14 20:54:32,27689208
2018-08-15 18:54:32,27715790
2018-08-16 16:54:32,27754651
2018-08-17 14:54:32,27780989
2018-08-18 12:54:32,27802018
2018-08-19 10:54:32,27821517
2018-08-20 08:54:32,27843425
2018-08-21 06:54:32,27870705
2018-08-22 04:54:32,27887945
2018-08-23 02:54:32,27904105
2018-08-24 00:54:32,27923509
2018-08-24 22:54:32,27942213
2018-08-25 20:54:32,27964375
2018-08-26 18:54:32,27981136
2018-08-27 16:54:32,28003510
2018-08-28 14:54:32,28026843
2018-08-29 12:54:32,28051278
2018-08-30 10:54:32,28069963
2018-08-31 08:54:32,28097295
2018-09-01 06:54:32,28118535
2018-09-02 04:54:32,28146023
2018-09-03 02:54:32,28169367
2018-09-04 00:54:32,28197122
2018-09-04 22:54:32,28221242
2018-09-05 20:54:32,28242292
2018-09-06 18:54:32,28263169
2018-09-07 16:54:32,28293974
2018-09-08 14:54:32,28311881
2018-09-09 12:54:32,28335693
2018-09-10 10:54:32,28354768
2018-09-11 08:54:32,28369956
2018-09-12 06:54:32,28399717
2018-09-13 04:54:32,28423952
2018-09-14 02:54:32,28439421
2018-09-15 00:54:32,28458932
2018-09-15 22:54:32,28487660
2018-09-16 20:54:32,28510991
2018-09-17 18:54:32,28533932
2018-09-18 16:54:32,28558403
2018-09-19 14:54:32,28587322
2018-09-20 12:54:32,28621807
2018-09-21 10:54:32,28645157
2018-09-22 08:54:32,28667671
2018-09-23 06:54:32,28688022
2018-09-24 04:54:32,28705663
2018-09-25 02:54:32,28724040
2018-09-26 00:54:32,28754595
2018-09-26 22:54:32,28787814
2018-09-27 20:54:32,28815399
2018-09-28 18:54:32,28837177
2018-09-29 16:54:32,28863437
2018-09-30 14:54:32,28882247
2018-10-01 12:54:32,28904902
2018-10-02 10:54:32,28930037
2018-10-03 08:54:32,28953426
2018-10-04 06:54:32,28970401
2018-10-05 04:54:32,28999266
2018-10-06 02:54:32,29035110
2018-10-07 00:54:32,29058862
2018-10-07 23:54:32,29090697
2018-10-08 21:54:32,29111207
2018-10-09 19:54:32,29130908
2018-10-10 17:54:32,29155850
2018-10-11 15:54:32,29179597
2018-10-12 13:54:32,29211717
2018-10-13 11:54:32,29226740
2018-10-14 09:54:32,29246365
2018-10-15 07:54:32,29275607
2018-10-16 05:54:32,29302071
2018-10-17 03:54:32,29329975
2018-10-18 01:54:32,29349755
2018-10-18 23:54:32,29381766
2018-10-19 21:54:32,29409421
2018-10-20 19:54:32,29439545
2018-10-21 17:54:32,29459359
2018-10-22 15:54:32,29493113
2018-10-23 13:54:32,29527793
2018-10-24 11:54:32,29550182
2018-10-25 09:54:32,29567762
2018-10-26 07:54:32,29603039
2018-10-27 05:54:32,29639669
2018-10-28 03:54:32,29662973
2018-10-29 01:54:32,29680311
2018-10-29 23:54:32,29714480
2018-10-30 21:54:32,29737907
2018-10-31 19:54:32,29770639
2018-11-01 17:54:32,29806870
2018-11-02 15:54:32,29839110
2018-11-03 13:54:32,29858742
2018-11-04 11:54:32,29880952
2018-11-05 09:54:32,29897874
2018-11-06 07:54:32,29927204
2018-11-07 05:54:32,29973383
2018-11-08 03:54:32,30043545
2018-11-09 01:54:32,30123468
2018-11-09 23:54:32,30176515
2018-11-10 21:54:32,30228506
2018-11-11 19:54:32,30271670
2018-11-12 17:54:32,30314311
2018-11-13 15:54:32,30361989
2018-11-14 13:54:32,30402217
2018-11-15 11:54:32,30484071
2018-11-16 09:54:32,30530642
2018-11-17 07:54:32,30571025
2018-11-18 05:54:32,30603808
2018-11-19 03:54:32,30638824
2018-11-20 01:54:32,30680119
2018-11-20 23:54:32,30733701
2018-11-21 21:54:32,30805553
2018-11-22 19:54:32,30848044
2018-11-23 17:54:32,30887305
2018-11-24 15:54:32,30925732
2018-11-25 13:54:32,30950004
2018-11-26 11:54:32,30977870
2018-11-27 09:54:32,31019559
2018-11-28 07:54:32,31069280
2018-11-29 05:54:32,31100440
2018-11-30 03:54:32,31122710
2018-12-01 01:54:32,31142207
2018-12-01 23:54:32,31161278
2018-12-02 21:54:32,31188869
2018-12-03 19:54:32,31215210
2018-12-04 17:54:32,31243161
2018-12-05 15:54:32,31265684
2018-12-06 13:54:32,31295678
2018-12-07 11:54:32,31316137
2018-12-08 09:54:32,31336330
2018-12-09 07:54:32,31363228
2018-12-10 05:54:32,31378935
2018-12-11 03:54:32,31401643
2018-12-12 01:54:32,31422703
2018-12-12 23:54:32,31443943
2018-12-13 21:54:32,31474495
2018-12-14 19:54:32,31496427
2018-12-15 17:54:32,31516853
2018-12-16 15:54:32,31543382
2018-12-17 13:54:32,31564463
2018-12-18 11:54:32,31590097
2018-12-19 09:54:32,31618557
2018-12-20 07:54:32,31635631
2018-12-21 05:54:32,31650899
2018-12-22 03:54:32,31669932
2018-12-23 01:54:32,31692137
2018-12-23 23:54:32,31724753
2018-12-24 21:54:32,31751783
2018-12-25 19:54:32,31765705
2018-12-26 17:54:32,31780906
2018-12-27 15:54:32,31817708
2018-12-28 13:54:32,31834894
2018-12-29 11:54:32,31847496
2018-12-30 09:54:32,31879953
2018-12-31 07:54:32,31894081
2019-01-01 05:54:32,31915864
2019-01-02 03:54:32,31928457
2019-01-03 01:54:32,31955907
2019-01-03 23:54:32,31978831
2019-01-04 21:54:32,32075490
2019-01-05 19:54:32,32127367
2019-01-06 17:54:32,32141320
2019-01-07 15:54:32,32167512
2019-01-08 13:54:32,32188996
2019-01-09 11:54:32,32205068
2019-01-10 09:54:32,32224172
2019-01-11 07:54:32,32256440
2019-01-12 05:54:32,32274243
2019-01-13 03:54:32,32305283
2019-01-14 01:54:32,32317279
2019-01-14 23:54:32,32350802
2019-01-15 21:54:32,32371819
2019-01-16 19:54:32,32429364
2019-01-17 17:54:32,32460799
2019-01-18 15:54:32,32476244
2019-01-19 13:54:32,32497585
2019-01-20 11:54:32,32527239
2019-01-21 09:54:32,32558596
2019-01-22 07:54:32,32573283
2019-01-23 05:54:32,32588796
2019-01-24 03:54:32,32613257
2019-01-25 01:54:32,32640825
2019-01-25 23:54:32,32662113
2019-01-26 21:54:32,32688146
2019-01-27 19:54:32,32710036
2019-01-28 17:54:32,32735858
2019-01-29 15:54:32,32765945
2019-01-30 13:54:32,32808338
2019-01-31 11:54:32,32829447
2019-02-01 09:54:32,32865601
2019-02-02 07:54:32,32897305
2019-02-03 05:54:32,32925774
2019-02-04 03:54:32,32953469
2019-02-05 01:54:32,32980756
2019-02-05 23:54:32,33006238
2019-02-06 21:54:32,33032699
2019-02-07 19:54:32,33059746
2019-02-08 17:54:32,33092413
2019-02-09 15:54:32,33113419
2019-02-10 13:54:32,33132566
2019-02-11 11:54:32,33157954
2019-02-12 09:54:32,33188485
2019-02-13 07:54:32,33202481
2019-02-14 05:54:32,33232545
2019-02-15 03:54:32,33253739
2019-02-16 01:54:32,33268757
2019-02-16 23:54:32,33294132
2019-02-17 21:54:32,33317593
2019-02-18 19:54:32,33348715
2019-02-19 17:54:32,33382083
2019-02-20 15:54:32,33410155
2019-02-21 13:54:32,33436941
2019-02-22 11:54:32,33503570
2019-02-23 09:54:32,33544880
2019-02-24 07:54:32,33576732
2019-02-25 05:54:32,33598839
2019-02-26 03:54:32,33636482
2019-02-27 01:54:32,33685182
2019-02-27 23:54:32,33733170
2019-02-28 21:54:32,33791715
2019-03-01 19:54:32,33840798
2019-03-02 17:54:32,33878225
2019-03-03 15:54:32,33895276
2019-03-04 13:54:32,33909622
2019-03-05 11:54:32,33935919
2019-03-06 09:54:32,33965310
2019-03-07 07:54:32,33994646
2019-03-08 05:54:32,34026470
2019-03-09 03:54:32,34039077
2019-03-10 01:54:32,34061861
2019-03-10 23:54:32,34085840
2019-03-11 21:54:32,34104676
2019-03-12 19:54:32,34127053
2019-03-13 17:54:32,34153201
2019-03-14 15:54:32,34179281
2019-03-15 13:54:32,34201486
2019-03-16 11:54:32,34220643
2019-03-17 09:54:32,34234548
2019-03-18 07:54:32,34276690
2019-03-19 05:54:32,34302755
2019-03-20 03:54:32,34325345
2019-03-21 01:54:32,34344857
2019-03-21 23:54:32,34381875
2019-03-22 21:54:32,34400960
2019-03-23 19:54:32,34420035
